訓練日期,20140716 - 20141015
測試日期,20141016 - 20150113
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12032111.710000000894070
真實報酬,2555846.639999998733401


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-25.955049153936983 x^2 + 22221.549909245699382 x + 10000000.000000000000000
二次平均預期報酬,18925.258666695706779
風險,198510.386918088392122
二次平均趨勢值,0.095336364814527
一次趨勢線,19759.103091688641143 x + 10000000.000000000000000
一次預期報酬,19759.103091688641143
一次風險,203889.631237088120542
一次趨勢值,0.096910779483005
投資組合檔數,3
Stock#,GS[8](26),HD[9](4),NKE[19](10)
張數,19704,41739,85426,
分配資金,3333333,3333333,3333333,
剩餘資金,7.320000000298023,56.459999999962747,10.479999999515712,
20140716,3358948.200000000186265,3324985.199999999720603,3285494.439999999478459,9969428.839999999850988
20140717,3352445.879999999888241,3320393.909999999683350,3269263.500000000000000,9942104.289999999105930
20140718,3378652.200000000186265,3342515.580000000074506,3311122.239999999292195,10032291.019999999552965
20140721,3383578.200000000186265,3327072.149999999906868,3281223.139999999199063,9991874.489999998360872
20140722,3448601.400000000372529,3361715.520000000018626,3290620.000000000000000,10100937.919999999925494
20140723,3484068.600000000093132,3381750.239999999757856,3305142.419999999459833,10170962.259999999776483
20140724,3473034.360000000335276,3389263.260000000242144,3357252.279999999329448,10219550.900000000372529
20140725,3456088.920000000391155,3382167.629999999888241,3319664.839999999385327,10157922.390000000596046
20140728,3466926.120000000111759,3383837.189999999478459,3348709.679999999701977,10199473.989999998360872
20140729,3458847.479999999981374,3380080.680000000167638,3335895.779999999329448,10174824.939999999478459
20140730,3463182.360000000335276,3412637.100000000093132,3400819.539999999571592,10276640.000000000000000
20140731,3406237.800000000279397,3374654.609999999869615,3294891.299999999348074,10075784.709999999031425
20140801,3354613.320000000298023,3328741.709999999962747,3279514.619999999646097,9962870.650000000372529
20140804,3382987.080000000074506,3340428.629999999888241,3295745.559999999590218,10019162.269999999552965
20140805,3338259.000000000000000,3340428.629999999888241,3285494.439999999478459,9964183.070000000298023
20140806,3344564.280000000260770,3360880.739999999757856,3294891.299999999348074,10000337.319999998435378
20140807,3331953.720000000204891,3358793.790000000037253,3260720.899999999441206,9951469.410000000149012
20140808,3394218.360000000335276,3440602.230000000447035,3291474.259999999776483,10126295.850000001490116
20140811,3398159.160000000614673,3459384.779999999795109,3291474.259999999776483,10149019.199999999254942
20140812,3395597.640000000596046,3461054.339999999850988,3277806.099999999161810,10134459.080000000074506
20140813,3396385.800000000279397,3469402.140000000130385,3300016.859999999869615,10165805.800000000745058
20140814,3403479.240000000223517,3500289.000000000000000,3301725.379999999422580,10205494.619999999180436
20140815,3387124.920000000391155,3493193.369999999646097,3294891.299999999348074,10175210.589999999850988
20140818,3439340.520000000484288,3489019.470000000204891,3355543.759999999776483,10283904.750000000000000
20140819,3427715.160000000614673,3682688.430000000167638,3353835.239999999292195,10464239.830000000074506
20140820,3429094.440000000409782,3787870.709999999962747,3370920.439999999478459,10587886.589999999850988
20140821,3451162.920000000391155,3804566.310000000055879,3371774.699999999254942,10627504.929999999701977
20140822,3457468.200000000186265,3799557.629999999888241,3387151.379999999422580,10644178.209999999031425
20140825,3504757.800000000279397,3806653.260000000242144,3417904.739999999292195,10729316.800000000745058
20140826,3505348.920000000391155,3824601.029999999795109,3394839.719999999739230,10724790.669999999925494
20140827,3503575.560000000521541,3834618.390000000130385,3405090.839999999385327,10743285.790000000968575
20140828,3500422.920000000391155,3861331.350000000093132,3366649.139999999199063,10728404.410000000149012
20140829,3529190.760000000707805,3902652.959999999962747,3355543.759999999776483,10787388.480000000447035
20140902,3542195.400000000372529,3804566.310000000055879,3386297.119999999646097,10733059.830000000074506
20140903,3538845.720000000204891,3714827.459999999962747,3366649.139999999199063,10620323.319999998435378
20140904,3548303.640000000596046,3753644.730000000447035,3413633.439999999478459,10715582.810000000521541
20140905,3541801.320000000298023,3823766.250000000000000,3504185.000000000000000,10869753.570000000298023
20140908,3548894.760000000707805,3790792.439999999478459,3519561.679999999701977,10859249.879999998956919
20140909,3495496.920000000391155,3711905.730000000447035,3495642.399999999441206,10703046.050000000745058
20140910,3544165.800000000279397,3725262.209999999962747,3522978.719999999739230,10792407.730000000447035
20140911,3566431.320000000298023,3724010.040000000037253,3494788.139999999199063,10785230.500000000000000
20140912,3609189.000000000000000,3708149.220000000204891,3495642.399999999441206,10812981.620000001043081
20140915,3625149.240000000223517,3730688.279999999795109,3486245.539999999571592,10842084.059999998658895
20140916,3626331.479999999981374,3767835.989999999757856,3468306.079999999608845,10862474.549999998882413
20140917,3641700.600000000093132,3807488.040000000037253,3481974.239999999292195,10931163.879999998956919
20140918,3702191.879999999888241,3843800.970000000204891,3501622.219999999739230,11047616.070000000298023
20140919,3668892.120000000111759,3854235.720000000204891,3494788.139999999199063,11017916.979999998584390
20140922,3650961.479999999981374,3835453.169999999925494,3446949.579999999608845,10933365.230000000447035
20140923,3647020.680000000167638,3818757.569999999832362,3422176.039999999571592,10887955.289999999105930
20140924,3700615.560000000521541,3882618.239999999757856,3452929.399999999441206,11036164.199999999254942
20140925,3627316.680000000167638,3835870.560000000055879,3406799.359999999869615,10869987.599999999627471
20140926,3647611.800000000279397,3875105.220000000204891,3822823.979999999515712,11345542.000000000000000
20140929,3622193.640000000596046,3876774.779999999795109,3806593.039999999571592,11305562.459999999031425
20140930,3617070.600000000093132,3829192.319999999832362,3810010.079999999608845,11256274.000000000000000
20141001,3560520.120000000111759,3799140.239999999757856,3745940.579999999608845,11105601.939999999478459
20141002,3603474.840000000316650,3850061.819999999832362,3814281.379999999422580,11267819.039999999105930
20141003,3705738.600000000093132,3904322.520000000018626,3856994.379999999422580,11467056.500000000000000
20141006,3694113.240000000223517,3892635.600000000093132,3810864.339999999385327,11397614.179999999701977
20141007,3621602.520000000484288,3859661.790000000037253,3762171.519999999552965,11243436.830000000074506
20141008,3677561.879999999888241,3927278.970000000204891,3794633.399999999441206,11399475.250000000000000
20141009,3571751.400000000372529,3884705.189999999478459,3726292.599999999161810,11182750.189999999478459
20141010,3554214.840000000316650,3863000.909999999683350,3724584.079999999608845,11141800.830000000074506
20141013,3522491.400000000372529,3781609.859999999869615,3647700.679999999701977,10951802.939999999478459
20141014,3521112.120000000111759,3760740.359999999869615,3634886.779999999329448,10916740.259999999776483
20141015,3492344.280000000260770,3666827.609999999869615,3638303.819999999832362,10797476.710000000894070
